ID_of_the_statement	label	statement	subject	speaker	speakers_job_title	state_info	party_affiliation	barely_true_counts	false_counts	half_true_counts	mostly_true_counts	pants_on_fire_counts	venue
7942.json	pants-fire	Says Florida didnt offer special incentives to Deutsche Bank, which announced it will add 300 jobs in Florida.	economy,jobs	rick-scott	Governor	Florida	republican	28	23	38	34	7	a TV interview
12473.json	pants-fire	Says she was the first in her family to go to a four-year college.	education	katie-mcginty		Pennsylvania	democrat	1	0	0	1	1	On the 'About' page of McGinty's campaign website
8005.json	true	There was a Gallup poll in Egypt last year, and 70 percent of Egyptians dont want our money.	foreign-policy,polls	rand-paul	Candidate for U.S. Senate and physician	Kentucky	republican	7	8	10	12	3	a Fox News interview
195.json	true	"The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent."	crime	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	an interview
1768.json	false	Scott Maddox has run "losing campaigns for 3 of Florida's 4 available cabinet positions."	agriculture,candidates-biography	adam-putnam	Florida Commissioner of Agriculture	Florida	republican	0	1	1	2	1	a campaign statement
9196.json	true	Americans spend 6.1 billion hours a year on tax preparation.	taxes	virginia-foxx	U.S. Representative	North Carolina	republican	0	0	0	1	1	in a comment on Twitter
8957.json	mostly-true	The budget I managed at the Department of Education was more than $60 million.	candidates-biography,education,federal-budget,job-accomplishments	clay-pell	Candidate for Rhode Island governor	Rhode Island	democrat	0	0	1	2	0	an interview on WPRI-TV's "Newsmakers."
13247.json	false	We are now, for the first time ever, energy independent.	energy,environment,gas-prices,trade	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	the second presidential debate
5659.json	true	Last year, Exxon pocketed nearly $4.7 million every hour.	corporations,energy	barack-obama	President	Illinois	democrat	70	71	160	163	9	a speech in the Rose Garden
1214.json	half-true	AARP is "the largest reseller of insurance in the country" and "has a vested interest in seeing that the market for reselling supplemental insurance expands."	health-care,legal-issues,medicare	ginny-brown-waite	Congresswoman	Florida	republican	2	0	2	0	0	a letter to AARP
4692.json	pants-fire	Medicare monthly premiums will go up to $104.20 in 2012 and $247.00 in 2014 due to provisions incorporated in the Obamacare legislation, purposely delayed so as not to confuse the 2012 re-election campaigns.	health-care,medicare	chain-email			none	11	43	8	5	105	a chain e-mail
5325.json	mostly-true	Right now, 50 percent of Florida students leaving high school cannot read at grade level.	education	bill-proctor	state representative	Florida 	republican	0	0	0	1	0	a newspaper article
4237.json	true	Says Republican Sen. John McCain won more votes for president in Cuyahoga County in the 2008 general election than he did in seven states.	elections	kevin-dewine	Chairman of the Ohio Republican Party	Ohio	republican	1	0	0	1	0	a speech at a GOP dinner
13019.json	barely-true	Marco Rubio voted against funding health clinics that provide critical care during this public health emergency (Zika).	abortion,congress,health-care	naral-pro-choice		Washington, D.C.	organization	2	1	0	0	1	a TV ad
12246.json	half-true	Youre in more trouble if you leave your pet in the car than if you leave your child in the car.	children,criminal-justice,public-safety	john-pagliarini	State Senator	Rhode Island	republican	0	0	1	0	0	a speech
2540.json	false	SaysPeter Kilmartin voted in favor of expanding the good behavior statute to sex offenders.	crime,voting-record	erik-wallin		Rhode Island	republican	0	1	0	0	0	a news release
4659.json	true	On letting Occupy Atlanta protesters stay in Woodruff Park.	occupy-wall-street,public-safety	kasim-reed			democrat	1	0	5	7	1	statements to the public
13313.json	half-true	What I have put forward does not add a penny to the debt.	debt	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	in the third presidential debate.
10286.json	true	There are more African American men in prison, jail, on probation or parole than were enslaved in 1850.	civil-rights,crime,criminal-justice,marijuana	diego-arene-morley	Student	Washington, D.C.	activist	0	0	0	0	0	a community forum
12813.json	mostly-true	In first week as governor, Tim Kaine proposed a nearly $4 billion tax increase, $4 billion, including a tax increase on people earning as little as $17,000 a year.	taxes	donald-trump	President-Elect	New York	republican	63	114	51	37	61	a speech.
2474.json	mostly-true	On Lee Fishers watch, almost nine out of 10 jobs that Ohio lost were lost to other states, not to other countries.	economy	rob-portman	U.S. senator from Ohio	Ohio	republican	3	5	11	11	1	an appearance at The Plain Dealer
4153.json	mostly-true	Every president has raised the debt ceiling.	deficit,federal-budget	richard-codey	State Senator	New Jersey	democrat	0	0	0	2	0	an interview on Hannity on Fox News
3255.json	false	Limiting labor negotiations to only wages is how it is for the most part in the private sector.	labor,state-budget	alberta-darling	State Senator, 8th District	Wisconsin	republican	1	1	2	1	1	an appearance on a TV interview program
9876.json	barely-true	Says on contraception, his plan is cheaper and easier for you than Sen. Mark Udalls	health-care,message-machine-2014,women	cory-gardner	U.S. House of Representatives	Colorado	republican	4	1	0	0	0	a campaign ad
11681.json	half-true	The states have always defined marriage.	gays-and-lesbians,marriage	marco-rubio	U.S. Senator	Florida	republican	33	24	32	35	5	an interview on NBC's "Meet the Press"
10192.json	false	Families in Del Valle, who are City of Austin residents, have to drive to Bastrop to go to the closest grocery store.	hunger,population	delia-garza	Attorney	Texas	none	0	1	0	0	0	as quoted in a news story
545.json	half-true	John McCain "opposed legislation to fund levees and flood control programs, which he considers pork."	federal-budget	barack-obama	President	Illinois	democrat	70	71	160	163	9	remarks to U.S. Conference of Mayors
5688.json	half-true	Mitt Romneys pledged to protect (oil companies) record profits and their billions in special tax breaks, too.	energy,taxes	priorities-usa-action			democrat	3	1	4	2	1	a television ad
8897.json	true	Mark Warner voted for nearly $1 trillion in new taxes and $7 trillion in new debt.	debt,federal-budget,taxes,voting-record	ed-gillespie	Republican strategist	Washington, D.C.	republican	2	3	2	2	1	a web ad.
2464.json	barely-true	State government spending will be increase 10.7 percent this year.	government-efficiency,job-accomplishments,state-budget	john-kasich	Governor of Ohio as of Jan. 10, 2011	Ohio	republican	9	8	10	18	3	a debate
7030.json	barely-true	Says Democrats first proposed prohibiting the government from negotiating prices for prescription drugs in Medicare Part D and he had nothing to do with that provision in the law.	candidates-biography,health-care,medicare	tommy-thompson		Wisconsin	republican	6	8	2	5	3	a debate
10552.json	half-true	The FCCs net neutrality policy includes whatis essentially a massive tax increase.	taxes,technology	mike-lee	U.S. Senator	Utah	republican	0	0	1	1	0	an email through Protect Internet Freedom
4552.json	mostly-true	The typical white male worker in this country is making in real terms what he was making in 1973 and the average worker is making what they were making in 1996.	economy,new-hampshire-2012,workers	david-axelrod			democrat	2	1	6	7	0	a speech to the New Hampshire Institute of Politics
6433.json	false	A United Nations arms treaty would almost certainly force the U.S. to create an international gun registry, setting the stage for full-scale gun confiscation.	guns,human-rights,trade	paul-broun	Congressman	Georgia	republican	4	8	3	2	1	a YouTube video
3095.json	mostly-true	More people die from medical misadventures than firearm accidents nationally and in Florida.	guns,health-care	national-rifle-association			none	3	5	1	5	3	a fact-sheet.
5897.json	false	When we took office, let me remind you, there was virtually no international pressure on Iran.	foreign-policy	joe-biden	U.S. senator	Delaware	democrat	11	10	21	16	4	a speech
8822.json	mostly-true	The minimum wage is mostly an entry-level wage for young people.	income	mitch-mcconnell	Senate minority leader	Kentucky	republican	7	6	5	7	0	an interview with "Fox News Sunday"
6926.json	barely-true	Says six studies verify that the math adds up for Mitt Romneys tax plan.	taxes	paul-ryan	U.S. Representative	Wisconsin	republican	19	6	16	14	2	the vice presidential debate
10674.json	half-true	In the United States, weve had 12 years in a row of wages declining.	economy,jobs	martin-omalley	Maryland governor	Maryland	democrat	3	1	10	4	0	an interview on ABC's "This Week"
2328.json	half-true	Charlie Crist has six different positions on ObamaCare.	health-care	marco-rubio	U.S. Senator	Florida	republican	33	24	32	35	5	a campaign website
1352.json	mostly-true	"In the last few months alone, we have apprehended extremists within our borders who were sent here from the border region of Afghanistan and Pakistan to commit new acts of terror."	afghanistan	barack-obama	President	Illinois	democrat	70	71	160	163	9	a speech at the United States Military Academy.
679.json	true	"As governor, I've stood up to ... the big oil companies."	energy	sarah-palin		Alaska	republican	9	19	9	6	6	Dayton, Ohio
8094.json	mostly-true	This year, were off to our best private-sector jobs growth since 1999.	economy,jobs	barack-obama	President	Illinois	democrat	70	71	160	163	9	a speech in Chattanooga, Tenn.
5729.json	false	Says abortion doctors are flying into this state, performing abortions and flying out.	abortion,health-care,public-health	matthew-hill	State Representative	Tennessee	republican	0	1	0	0	0	a debate on the state House floor.
5228.json	mostly-true	Speaker Gingrich for 20 years supported a federal individual mandate for health insurance.	health-care,legal-issues	rick-santorum		Pennsylvania	republican	12	16	13	7	5	a Republican presidential primary debate in Tampa, Fla.
9842.json	mostly-true	There have been at least 100 shootings each year [Angel Taveras] has been mayor of Providence.	candidates-biography,crime,guns,job-accomplishments,campaign-advertising,public-safety	american-leadhership-pac	Political Action Committee	Rhode Island	organization	0	0	1	2	0	a campaign mailing
2089.json	true	Maurice Ferre says Kendrick Meek has voted 98.6 percent of the time with the Democrat party.	voting-record	maurice-ferre	Former mayor of Miami	Florida	democrat	1	0	1	0	0	an editorial meeting.
10200.json	half-true	Weve created more jobs in the United States than every other advanced economy combined since I came into office.	jobs	barack-obama	President	Illinois	democrat	70	71	160	163	9	an interview on CBS' "Face the Nation"
12908.json	barely-true	One in four inmates is an illegal immigrant.	immigration	lisa-boothe			republican	1	0	0	0	0	an interview on Fox
9831.json	true	Wisconsin is dead last in income growth among midwestern states during Gov. Scott Walkers term.	economy,income,workers	blog-posting			none	7	19	3	5	44	various blogs and Internet comments
12414.json	false	A three-cents-per-ounce soda tax in Philadelphia would result in the loss of 2,000 family-sustaining Teamster Union jobs and countless other jobs in the beverage industry.	taxes	daniel-grace	Secretary of Teamsters Local 830	Pennsylvania	labor-leader	0	1	0	0	0	a statement
1445.json	mostly-true	"I have had the challenge during this administration to suspend no less than 37 public officials in about 36 months."	florida	charlie-crist		Florida	democrat	15	9	20	19	2	Associated Press' annual legislative meeting
2132.json	barely-true	Kendrick Meek was #1 in Florida in taking tobacco cash and then opposed a tax on cigars that would have helped pay for childrens health care.	campaign-finance,candidates-biography	jeff-greene		Florida	democrat	3	1	3	0	0	a campaign flier
3175.json	barely-true	Federal Reserve policies have led to a 69 percent rise in corn prices, 44 percent rise in wheat prices and 15 percent spike in sugar prices over the last year.	agriculture,energy,hunger	jamie-radtke		Virginia	republican	1	1	1	2	0	remarks to the Senate Tea Party caucus meeting.
4064.json	false	On repeal of Wisconsins smoking ban	public-health	scott-walker	Milwaukee County Executive	Wisconsin	republican	26	41	32	40	11	a news release
3520.json	mostly-true	Ninety percent of Texans say they do not want the nursing homes to close. It polls higher than anything else.	health-care,housing,state-budget	sylvester-turner	Attorney	Texas	democrat	0	2	0	2	0	remarks on the House floor
11744.json	half-true	For the first time ever, we completely funded the critical needs waiting list so persons with unique abilities can get the help they need.	disability,state-budget	rick-scott	Governor	Florida	republican	28	23	38	34	7	his 2016 State of the State address
6493.json	half-true	Paul Ryan got his start in politics, as a young staffer just out of college, working for then-Congressman John Kasichs Budget Committee.	candidates-biography,congress,elections	chris-redfern	Chairman of the  Ohio Democratic Party	Ohio	democrat	0	0	2	4	0	a news release
12201.json	barely-true	Race to the Top grants require participating states to adopt the Common Core standards as a condition for receiving federal funding.	education	david-jolly		Florida	republican	4	0	1	1	0	a statement on his campaign website
11034.json	half-true	President Obama in November of last year wiped away (a program) that allows for shared fingerprinting for those who are behind bars so you know who is here legally and illegally.	immigration	harris-faulkner			republican	0	0	1	0	0	a broadcast of "Outnumbered" on Fox News
486.json	true	McCain sought the political support of minister John Hagee, "who believes Hurricane Katrina was God's punishment for gay rights and called the Catholic Church 'the Antichrist' and a 'false cult.'"	religion	moveon			democrat	2	4	3	0	0	an e-mail message
4807.json	true	Says 51 percent of federal tax filers paid zero federal income tax.	taxes	rob-cornilles	consultant	Oregon	republican	1	1	3	1	1	a statement on his website
8366.json	mostly-true	Because of the 2011 debt ceiling fight, the stock market lost 2,000 points.	economy	charles-schumer	Senator	New York	democrat	2	2	2	3	0	an interview on ABC's "This Week"
4937.json	false	Since Wisconsin Gov. Scott Walker took office, we are losing jobs at rates not seen in decades.	job-accomplishments,jobs	kathleen-falk			democrat	1	3	3	1	0	an opinion column
6979.json	barely-true	Says U.S. Senate rival Tammy Baldwin supports a tax increase that President Obama says would cost middle-class families $3,000 per year.	congress,families,message-machine-2012,taxes	tommy-thompson		Wisconsin	republican	6	8	2	5	3	a TV ad
8333.json	true	I would be the first Republican senator elected in New Jersey in 41 years.	congress,elections	steve-lonegan	Conservative Activist	New Jersey	republican	1	2	2	0	0	an interview on the John Gambling radio program
10711.json	true	Wisconsins attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time.	climate-change	next-generation-climate-action-committee			democrat	0	1	0	0	1	a blog post
3577.json	false	Says unions take away hard-earned money of teachers, firefighters and police officers to play politics.	unions	florida-chamber-commerce		Florida	none	0	1	1	2	1	a campaign-style ad.
1284.json	false	President Bush never did one interview with the New York Times during his entire presidency.	bush-administration,pundits,transparency	rachel-maddow	MSNBC host		none	6	6	4	6	1	"The Rachel Maddow" show
1100.json	mostly-true	14,000 Americans . . . lose their health insurance every single day.	health-care	barack-obama	President	Illinois	democrat	70	71	160	163	9	a news conference.
11947.json	false	Mr. Trump is self-financing his campaign, so we dont have any donors.	campaign-finance	corey-lewandowski	Campaign manager for Donald Trump		republican	1	2	0	0	0	a radio interview.
3705.json	true	Nearly 2,000 high schools - roughly 12 percent of all secondary schools in the United States - produce about half of the nations dropouts.	education	bobby-scott	U.S. Congressman	Virginia	democrat	1	2	1	5	0	a news release.
6358.json	barely-true	Embryonic stem cell research is at a dead end, with no one good example of a successful treatment.	health-care,message-machine-2012,science	dave-weldon		Florida	republican	2	0	0	0	1	a mock debate
9199.json	half-true	The U.S. spends more money on its military than the 16 biggest military budgets in the world combined.	federal-budget,military	anissa-naouai	RT correspondent		none	0	0	1	0	0	comments on CNN
13524.json	pants-fire	Wisconsin has only one county, Dane, thats hand counting the votes in the 2016 presidential recount.	county-government,elections	sean-duffy	Member of the U.S. House	Wisconsin	republican	5	1	6	1	2	an interview
13262.json	barely-true	Says Libya Ambassador (Christopher) Stevens sent 600 requests for help in Benghazi.	foreign-policy,government-efficiency,history,terrorism	donald-trump	President-Elect	New York	republican	63	114	51	37	61	the second 2016 presidential debate
7788.json	half-true	The Affordable Care Act is bringing the cost of health care in our country down.	health-care	nancy-pelosi	House Minority Leader	California	democrat	3	7	11	2	3	an interview on MSNBC
11346.json	true	Tens of thousands of Atlanta households pay more than 30 percent of their income towards rent.	housing	matthew-charles-cardinale			none	0	0	0	0	0	an opinion piece in the Saporta Report
1603.json	mostly-true	Rick Perry had planned to retire from the legislature until his best friend, David Weeks, and I talked him into switching parties and running for the GOP nomination for agriculture commissioner.	candidates-biography,elections	karl-rove		Texas	republican	2	5	2	8	0	his autobiography
5702.json	mostly-true	As the usage [of synthetic marijuana] has dramatically increased, instances of violence, bodily harm and even death have risen with it.	drugs,marijuana	nathan-deal			republican	9	5	11	11	0	a press release
3886.json	mostly-true	Out of 150,000 tenured teachers in the last 10 years, only 17 have been dismissed for incompetence.	education	chris-christie	Governor of New Jersey	New Jersey	republican	10	17	27	19	8	a speech at the Harvard Graduate School of Education
3795.json	false	The Providence teacher contract is one of the longest in the country.	education,labor,unions	angel-taveras	Mayor of Providence	Rhode Island	democrat	2	1	2	2	0	an interview
8508.json	half-true	In 1929, the Secretary of State shut down a program that was collecting information to protect America because it was unseemly, but that move led to millions and millions of deaths in World War II.	foreign-policy,history	mike-rogers	national security commentator for CNN	Michigan	republican	1	1	1	2	1	an interview on CBS' "Face the Nation"
3838.json	false	Look at the debt that has been accumulated in the last two years. Its more debt under this president than all those other presidents combined.	deficit,federal-budget,history	sarah-palin		Alaska	republican	9	19	9	6	6	an interview with Fox News' Greta Van Susteren
11980.json	half-true	The Chris Hani Baragwanath in South Africa is the worlds third-biggest hospital.	health-care,public-health	chris-hani-baragwanath-hospital			none	0	0	1	0	0	a page on the hospital's website
10828.json	true	Annual precipitation has increased in Rhode Island by over 12 inches in the last century.	climate-change,history,science,weather	david-cicilline	mayor of Providence	Rhode Island	democrat	7	4	5	4	1	a commentary in The Providence Journal
7027.json	half-true	Says Connie Mack initially said he would have voted yes for the Paul Ryan budget plan, and then, you said it was stupid and you would vote no. And then your folks corrected you, and you changed your position again, yes.	candidates-biography,federal-budget	bill-nelson		Florida	democrat	3	1	8	10	0	a U.S. Senate debate
7263.json	true	The state budget proposal has been submitted on time and [its] the earliest that a governor has done so in over two decades.	government-efficiency,history,state-budget,state-finances	lincoln-chafee		Rhode Island	democrat	3	5	3	4	0	his State of the State address
5521.json	true	Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV.	elections	kathleen-clyde	State representative	Ohio	democrat	0	0	0	0	0	a news conference
12441.json	true	Vietnamese is the third most commonly spoken language in Texas.	population,states	john-cornyn	Senator	Texas	republican	5	3	6	2	1	Senate floor remarks
3447.json	false	What we have now is the most generous, in my opinion, good time bill in the entire United States.	crime,criminal-justice,legal-issues,public-safety,states	richard-ferruccio	Correctional officer	Rhode Island	newsmaker	0	1	0	0	0	a radio interview
6116.json	barely-true	There is no Plan B if the transportation referendum is not passed by voters.	transportation	terry-lawler	executive director of the Regional Business Coalition of Metropolitan Atlanta	Georgia	none	1	0	0	0	0	a speech
1283.json	pants-fire	Barack Obama wrote a thesis at Columbia University in which he criticized "plutocratic thugs" and said the Constitution gave Americans "the shackles of hypocrisy."	candidates-biography,legal-issues	blog-posting			none	7	19	3	5	44	a posting on many blogs.
3030.json	pants-fire	Youll find blacks in almost every regiment throughout the South who fought right alongside white Southerners, during the Civil War.	history	ray-mcberry			republican	0	0	0	0	1	a radio interview
11915.json	false	The most likely triggering cause of (microcephaly) is the DTaP shot, a vaccine that had been recently mandated by the Brazilian government to be injected into pregnant women.	public-health	centre-research-globalization			none	0	1	0	0	0	an article posted on the group's website
8737.json	true	Our economy still has three people looking for every job (opening).	economy,jobs,labor	gene-sperling	Director of the National Economic Council 		democrat	1	0	0	0	0	an interview on CNN's "State of the Union"
5156.json	true	Says she got unions to agree to about $10 million in reduction of salaries and health benefits while serving as Dane County executive in Wisconsin.	county-budget,county-government,labor,unions	kathleen-falk			democrat	1	3	3	1	0	a TV interview
10435.json	true	Democrats have lost more than 900 state legislators since Barack Obama has been president.	candidates-biography,elections	cokie-roberts	NPR contributor, ABC commentator	Maryland	journalist	1	0	2	2	0	comments on ABC's "This Week"
2647.json	mostly-true	Carly Fiorina, shes against banning assault weapons.	guns,message-machine	barbara-boxer	U.S. Senator	California	democrat	2	0	3	4	1	a campaign ad
197.json	false	"Hillary's baby bond proposal would give $5,000 to each of the 4-million babies born in the U.S. each year, totaling $20-billion per year, multiplied by four years = $80-billion."	federal-budget	republican-national-committee-republican			republican	6	6	11	5	2	a Web site.
12928.json	half-true	Says her campaign platform includes the biggest investment in new, good-paying jobs since World War II.	economy,education,energy,federal-budget,income,infrastructure,jobs,technology	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	a campaign speech in Scranton, Pa. 
645.json	half-true	"Joe Biden brought Republicans and Democrats together to pass the 1994 crime bill, putting 100,000 cops on the streets and starting an eight-year drop in crime across the country."	crime	barack-obama	President	Illinois	democrat	70	71	160	163	9	
4716.json	false	If Rhode Island does a hybrid [retirement] plan well be the first state in the nation to do this.	pensions,public-service,retirement,workers	lincoln-chafee		Rhode Island	democrat	3	5	3	4	0	in a hearing
9334.json	true	Before the terrorist attacks in Benghazi, the State Department not only failed to honor repeated requests for additional security, but instead actually reduced security in Libya.	foreign-policy,military,terrorism	ron-johnson		Wisconsin	republican	14	6	10	10	1	an opinion article
3755.json	true	Failure to raise the debt limit does not force a U.S. default on debt payments.	deficit,economy,federal-budget	randy-forbes	Representative	Virginia	republican	1	0	4	3	0	a statement.
4340.json	false	Democrats in the Legislature in 2009 voted for various pork projects including a $5 million scoreboard for the Milwaukee Bucks.	state-budget	club-growth			none	4	5	4	2	0	a television ad
12822.json	half-true	Says Donald Trump has defended World War II internment camps.	history	joaquin-castro	attorney	Texas	democrat	1	0	1	2	0	a speech at the DNC
1886.json	mostly-true	"Bill McCollum holds the same position on (embryonic stem cell research) as Barack Obama."	abortion,science	rick-scott	Governor	Florida	republican	28	23	38	34	7	a campaign mail piece.
7967.json	mostly-true	In 1999, the NRA leadership in Washington, pretty much the same people intact, were for (expanded background checks.)	guns	joe-manchin	Senator from West Virginia	West Virginia	democrat	0	0	1	1	0	an interview on MSNBC
1862.json	false	Turkey is an Arab country.	foreign-policy,pundits,abc-news-week	markos-moulitsas	Publisher of Daily Kos	California	none	0	1	0	0	0	a roundtable discussion on ABC's This Week
4076.json	barely-true	Newt Gingrichs presidential campaign has exactly the same challenges as Ronald Reagans successful 1980 bid.	history	newt-gingrich	Co-host on CNN's "Crossfire"	Georgia	republican	16	15	20	10	11	a television interview
11641.json	true	The number of people in Atlanta dying from HIV and AIDS declined 59 percent between 2004 and 2012.	public-health	fulton-county-health-and-wellness	none	Georgia	none	0	0	0	1	0	a press release
5903.json	half-true	Says Lee Leffingwell raised property taxes 20 percent in three years.	city-budget,city-government,taxes	brigid-shea	Principal, Carbon Shrinks LLC	Texas	democrat	0	0	1	1	0	a campaign mailer.
3890.json	pants-fire	Accuses President Barack Obama of making contradictory claims about efforts to kill Osama bin Laden in 2008 and 2011.	homeland-security,military,terrorism	chain-email			none	11	43	8	5	105	a chain e-mail
346.json	mostly-true	"8 years of the Clintons, major losses for Democrats across the nation."	elections	barack-obama	President	Illinois	democrat	70	71	160	163	9	a flyer sent prior to Super Tuesday
11501.json	false	92 percent of the jobs lost during Barack Obamas first term belonged to women.	jobs,women	carly-fiorina		California	republican	5	5	4	3	2	the third Republican presidential debate
9067.json	half-true	Says President Barack Obama was responsible for the assassination of at least four American citizens in drone strikes.	foreign-policy,legal-issues,terrorism	kesha-rogers		Texas	democrat	1	0	1	0	0	statements on her campaign website
239.json	true	"It used to be the policy of the Republican Party to get rid of the Department of Education. We finally get in charge and a chance to do something, so we double the size of the Department of Education."	education	ron-paul	U.S. representative	Texas	republican	5	8	8	8	3	a debate in Johnston, Iowa
5451.json	false	We have 395 inmates pushed into triple-bunked cells intended for two inmates and bunked in classrooms and areas supposed to be designated for inmate labor.	public-safety,state-budget,unions	ken-allen			democrat	0	1	0	0	0	a guest column
3871.json	false	The ACLU didnt call for an investigation (of the Newark police department), they called for an immediate federal monitor.	crime,ethics	cory-booker	U.S. senator	New Jersey	democrat	0	4	2	8	0	a radio interview on the Brian Lehrer show
1458.json	barely-true	Says his executive order requiring young girls to be vaccinated against HPV wasnt mandatory.	families,health-care	rick-perry	Governor	Texas	republican	30	30	42	23	18	a debate
2311.json	true	Says a highway was closed in El Paso because of bullets flying across the border.	crime,drugs,homeland-security	greg-abbott	governor	Texas	republican	11	3	8	6	5	an interview
7179.json	false	If the House of Representatives fails to extend the middle-class tax cuts, 400,000 middle-class Rhode Island families will see their federal income taxes increase.	economy,families,federal-budget,income,taxes	barack-obama	President	Illinois	democrat	70	71	160	163	9	a report
9247.json	mostly-true	95 percent of the income gains in the last few years have gone to the top 1 percent.	income,jobs	neera-tanden	President of the Center for American Progress		newsmaker	0	0	0	1	0	comments on NBC's "Meet the Press"
9873.json	true	Eight out of the nine states with competitive Senate races, Hispanics make up less than 10 percent of the electorate.	diversity,elections,population	chuck-todd	MSNBC political reporter		none	0	0	1	1	0	a comment on "Meet the Press."
11713.json	barely-true	We didnt go out and take information from the Hillary Clinton campaign.	elections	bernie-s	U.S. Senator	Vermont	independent	18	12	22	41	0	an interview on NBC's "Meet the Press".
1044.json	pants-fire	If you actually took the number of Muslims [sic] Americans, we'd be one of the largest Muslim countries in the world.	religion	barack-obama	President	Illinois	democrat	70	71	160	163	9	interview with Canal Plus Television
1919.json	half-true	"On the pace that we're on with job creation in the last four months ...we will have created more jobs in this year than in the entire Bush Presidency."	bush-administration,economy	debbie-wasserman-schultz	U.S. Representative, Florida District 23	Florida	democrat	7	9	8	15	3	an interview on FOX.
10402.json	false	Says Nikita Khrushchev brought an extra shoe to a United Nations session in 1960, which he banged on the desk in protest.	history	arthur-cyr	professor, Carthage College	Wisconsin	columnist	0	1	0	0	0	a Providence Journal commentary
2879.json	half-true	Low-flow toilets can cost homeowners up to $1,000 each.	environment	elaine-boyer			republican	0	0	1	1	0	a newspaper op-ed
5892.json	false	Jim Renacci voted repeatedly to end Medicare.	health-care,medicare	betty-sutton	U.S. representative from Ohio's 13th District	Ohio	democrat	0	2	1	2	1	a campaign email
1294.json	mostly-true	Sen. Joe Liebermans home state has a public option which covers about 10,000 of its citizens that was introduced by its Republican governor.	health-care,pundits	keith-olbermann	Political commentator		none	0	2	3	2	0	'Countdown with Keith Olbermann'
3849.json	true	Says this months special session will cost the state $27,300 a day just for legislators daily living expenses.	government-efficiency,state-finances	jason-isaac	Transportation consultant	Texas	republican	2	0	1	0	1	a tweet
7278.json	mostly-true	Wind powers nearly 13 million homes across the country.	environment	jennette-gayer			none	0	0	1	1	0	a news release
7701.json	mostly-true	Says businesses pay roughly 60 percent of taxes in Texas.	state-budget,taxes	bill-hammond	CEO, president, Texas Association of Business & Chambers of Commerce	Texas	republican	1	0	0	1	0	a press conference with Gov. Rick Perry, April 15, 2013
1191.json	barely-true	Health insurance companies pay CEOs $24 million a year	corporations,health-care	health-care-america-now	health care reform advocacy group	Washington, D.C.	none	2	1	0	0	0	a television advertisement
10844.json	half-true	Every president since Franklin Delano Roosevelt has had fast-track trade authority.	congress,congressional-rules,foreign-policy,history,trade	paul-ryan	U.S. Representative	Wisconsin	republican	19	6	16	14	2	on CNN's "State of the Union"
13390.json	mostly-true	Says Donald Trump wants to deport our Dreamers.	immigration	priorities-usa-action			democrat	3	1	4	2	1	a TV ad
11952.json	false	Says Barack Obama is apparently not for vetting people and saying just anybody can come to the United States.	homeland-security,terrorism	glenn-grothman	State Senator, 20th District	Wisconsin	republican	2	4	1	1	0	a radio interview
5354.json	half-true	The majority of Americans are conservatives.	corrections-and-updates,polls	marco-rubio	U.S. Senator	Florida	republican	33	24	32	35	5	a speech at the CPAC conference
10487.json	mostly-true	Says a lawmaker seeks to defund Planned Parenthood for cutting children into small pieces.	abortion	miscellany-blue	Blog site	New Hampshire	democrat	0	0	0	1	0	a web post
6162.json	half-true	Obama has racked up more debt than any president in history over $5 trillion.	deficit,economy,federal-budget	jim-renacci	U.S. representative 	Ohio	republican	5	3	4	1	1	an online blog post
12926.json	half-true	Says Arizona congressional candidate Ray Strauss is a Champion of Big Government for his votes to raise taxes while on the local city council.	taxes	sarah-palin		Alaska	republican	9	19	9	6	6	a Facebook post
5256.json	half-true	Says with Gov. Chris Christie and bipartisan reformers New Jersey had the most job growth in 11 years.	jobs,state-finances	committee-our-childrens-future	Political advocacy group	New Jersey	none	0	0	2	1	0	a video ad posted on YouTube
3449.json	true	Says Oregon is near the top or at the top of the list when it comes to capital gains tax	state-budget,taxes	tobias-read	state representative	Oregon	democrat	0	0	0	0	0	a legislative hearing
1411.json	true	"The No. 1 issue that the American people care about is getting America back to work."	economy,health-care	john-cornyn	Senator	Texas	republican	5	3	6	2	1	a televised interview
4983.json	false	Says in 1944 we were in debt more than twice as much as we are now.	deficit,economy,federal-budget	rush-holt			democrat	0	1	2	1	0	a telephone town hall meeting
6459.json	mostly-true	Says Ronda Storms voted to fund the Taj Mahal courthouse.	message-machine-2012,state-budget	rob-turner	Hillsborough County Property Appraiser	Florida	republican	0	0	0	1	0	a campaign mailer
11665.json	mostly-true	In France, they have a (surveillance) program a thousandfold more invasive than the United States.	homeland-security,terrorism	rand-paul	Candidate for U.S. Senate and physician	Kentucky	republican	7	8	10	12	3	an interview on NBC's 'Meet the Press'
